BUYER_DEA_NO,BUYER_STATE,BUYER_COUNTY,lat,lon,total_dosage_unit,total_records,countyfips,average_population,per_person,linear_per_person,BUYER_BUS_ACT,BUYER_NAME,BUYER_ADDRESS1,BUYER_CITY,BUYER_ZIP,BUYER_ADDL_CO_INFO,BUYER_ADDRESS2
FT2703444,LA,JEFFERSON,30.0161,-90.2494,49000,265,22051,432413.71428571426,0,0.05068435883876962,CHAIN PHARMACY,TARGET STORES A DIV. OF TARGET CORP.,TARGET STORE T-2534,KENNER,70065,ATTN PHARMACY,1401 W ESPLANADE AVE STE 200
BK3628495,LA,JEFFERSON,30.0016,-90.1526,380620,2110,22051,432413.71428571426,0.1,0.3944051579821803,CHAIN PHARMACY,K-MART PHARMACY #4810,2940 VETERANS BLVD,METAIRIE,70002,,
BS3720718,LA,JEFFERSON,30.0012,-90.1514,128200,701,22051,432413.71428571426,0,0.13277436333837198,CHAIN PHARMACY,SAV-A-CENTER #60,"SUPER FRESH/SAV-A-CENTER, INC",METAIRIE,70002,,2900 VETERANS HIGHWAY
FJ2239108,LA,JEFFERSON,29.9593,-90.1719,427560,248,22051,432413.71428571426,0.1,0.44305799650757594,RETAIL PHARMACY,JACK'S DISCOUNT PHARMACY LLC,4400 JEFFERSON HIGHWAY,JEFFERSON,70121,,
AW2056097,LA,JEFFERSON,29.8967,-90.0881,6300,37,22051,432413.71428571426,0,0.006426237725978969,RETAIL PHARMACY,WESTBANK PHARMACY,3709 WESTBANK EXPRESSWAY,HARVEY,70058,,STE 1-C
FN1312189,LA,JEFFERSON,29.8967,-90.0881,40320,222,22051,432413.71428571426,0,0.04168762602239906,RETAIL PHARMACY,"NGUYEN PHARMACY, INC.",3709 WESTBANK EXPRESSWAY,HARVEY,70058,DBA WESTBANK PHARMACY,SUITE 1-C
FL2018693,LA,JEFFERSON,29.8978,-90.1384,550800,1208,22051,432413.71428571426,0.2,0.5707950186607451,CHAIN PHARMACY,"LOUISIANA CVS PHARMACY, L.L.C.",1203 WESTBANK EXPRESSWAY,WESTWEGO,70094,DBA: CVS/PHARMACY  # 04752,
BF2062557,LA,JEFFERSON,29.8987,-90.1435,396880,979,22051,432413.71428571426,0.1,0.41125848466353804,RETAIL PHARMACY,S-MART ENTERPRISES INC,905 WESTBANK EXPRESSWAY,WESTWEGO,70094,DBA  FASULLO DRUGS,
BA1411379,LA,JEFFERSON DAVIS,30.2224,-92.6578,1618900,1853,22053,31428.571428571428,7.4,23.086494287416034,RETAIL PHARMACY,ARDOIN'S CRESCENT DRUG STORE,254 NORTH MAIN STREET,JENNINGS,70546,AMOS LEE ARDOIN,PO BOX 1205
BC4730481,LA,JEFFERSON DAVIS,30.2268,-92.6577,1373100,2959,22053,31428.571428571428,6.2,19.58122171173503,RETAIL PHARMACY,CASSIDY'S PHARMACY INC,710 N MAIN ST,JENNINGS,70546,,PO BOX 957
BW5505740,LA,JEFFERSON DAVIS,30.2445,-92.6591,1033340,5411,22053,31428.571428571428,4.7,14.736016625024789,CHAIN PHARMACY,WAL-MART PHARMACY 10-0386,303 INTERSTATE DRIVE,JENNINGS,70546,,
FW0366573,LA,JEFFERSON DAVIS,30.2421,-92.6628,965400,2070,22053,31428.571428571428,4.4,13.767146735717356,CHAIN PHARMACY,"WALGREEN LOUISIANA CO., INC.",1804 ELTON RD,JENNINGS,70546,DBA: WALGREENS #10577,
BH9650587,LA,JEFFERSON DAVIS,30.2343,-92.6619,946040,2553,22053,31428.571428571428,4.3,13.491060173206437,RETAIL PHARMACY,HEALTH MART PHARMACY OF JENN,1322 ELTON RD.,JENNINGS,70546,,SUITE A
BT2574588,LA,JEFFERSON DAVIS,30.2278,-92.6632,567920,1832,22053,31428.571428571428,2.6,8.09881580251278,RETAIL PHARMACY,THE MEDICINE SHOPPE,802 NORTH LAKE ARTHUR AVE,JENNINGS,70546,,
FF0894407,LA,JEFFERSON DAVIS,30.2387,-92.661,513700,1420,22053,31428.571428571428,2.3,7.325602299447589,RETAIL PHARMACY,FAMILY DRUG STORE OF JENNINGS,1710 JOHNSON ST.,JENNINGS,70546,,
BF8641258,LA,JEFFERSON DAVIS,30.2387,-92.661,259530,779,22053,31428.571428571428,1.2,3.700967919623178,RETAIL PHARMACY,FAMILY DRUG STORE OF JENNINGS,1710 JOHNSON ST,JENNINGS,70546,,
AK8274730,LA,JEFFERSON DAVIS,30.2326,-92.6621,116000,494,22053,31428.571428571428,0.5,1.6541340189417517,CHAIN PHARMACY,K & B LOUISIANA CORP #7303,1208 ELTON RD,JENNINGS,70546,RITE AID #7303,JENNINGS VILLAGE SHOPPING CTR
BT3806378,LA,JEFFERSON DAVIS,30.2372,-92.6613,46610,163,22053,31428.571428571428,0.2,0.6645861587851013,RETAIL PHARMACY,THRIFTY WAY PHARMACY,OF JENNINGS LA,JENNINGS,70546,,"1615 JOHNSON STREET, SUITE D"
BS3824934,LA,LINCOLN,32.5449,-92.638,1236600,4131,22061,45322.142857142855,3.9,12.228682887823958,CHAIN PHARMACY,SUPER 1 PHARMACY,1500 NORTH TRENTON,RUSTON,71270,,
BW5592729,LA,LINCOLN,32.5436,-92.6242,788420,4191,22061,45322.142857142855,2.5,7.7966130592037235,CHAIN PHARMACY,WAL-MART PHARMACY 10-0023,1201 N SERVICE ROAD EAST,RUSTON,71270,,
BF9257266,LA,LINCOLN,32.5491,-92.6119,466900,3054,22061,45322.142857142855,1.5,4.617089003471704,RETAIL PHARMACY,FRED'S PHARMACY # 2799,2019 FARMERVILLE HWY.,RUSTON,71270,,
BS7836541,LA,LINCOLN,32.5439,-92.6366,365530,2240,22061,45322.142857142855,1.2,3.6146370454922465,RETAIL PHARMACY,STERLING PHARMACY,205 E REYNOLDS DRIVE,RUSTON,71270,,SUITE C
FW0606131,LA,ORLEANS,30.0277,-89.9933,1081700,3022,22071,298219.28571428574,0.5,1.6255785914331726,CHAIN PHARMACY,"WALGREEN LOUISIANA CO., INC.",5702 CROWDER BLVD,NEW ORLEANS,70127,DBA: WALGREENS #16312,
FW1141314,LA,ORLEANS,29.9996,-90.0587,869600,2433,22071,298219.28571428574,0.4,1.3068144209654473,CHAIN PHARMACY,"WALGREEN LOUISIANA CO., INC.",3216 GENTILLY BLVD,NEW ORLEANS,70122,DBA: WALGREENS #11414,
BW2831382,LA,ORLEANS,29.924,-90.087,1186500,3421,22071,298219.28571428574,0.6,1.7830820570862493,CHAIN PHARMACY,"WALGREEN LOUISIANA CO., INC.",3227 MAGAZINE ST,NEW ORLEANS,70115,DBA: WALGREENS # 02640,
FW1128493,LA,ORLEANS,30.0212,-90.1127,747600,2523,22071,298219.28571428574,0.4,1.1234611498807585,CHAIN PHARMACY,"WALGREEN LOUISIANA CO., INC.",101 ROBERT E LEE BOULEVARD,NEW ORLEANS,70124,DBA: WALGREENS #11496,
BL9175882,LA,ORLEANS,30.0233,-90.0912,52290,228,22071,298219.28571428574,0,0.07848276530784902,RETAIL PHARMACY,LAKEFRONT PHARMACY,6510 SPANISH FORT BLVD,NEW ORLEANS,70124,,
BC3575315,LA,RAPIDES,31.3202,-92.4361,299000,1089,22079,130994.71428571429,0.3,1.0229112851695679,RETAIL PHARMACY,CENLA PROFESSIONAL PHARMACY,610 MAIN STREET,PINEVILLE,71360,,
FW1802203,LA,SAINT BERNARD,29.9589,-89.9843,512800,2402,22087,29047,2.5,7.9123520070414965,CHAIN PHARMACY,WAL-MART PHARMACY 10-0909,8101 W. JUDGE PEREZ DR.,CHALMETTE,70043,,
BW5506588,LA,SAINT BERNARD,29.9589,-89.9843,2300,9,22087,29047,0,0.03538513417307272,CHAIN PHARMACY,WAL-MART PHARMACY 10-0909,8101 W. JUDGE PEREZ DR.,CHALMETTE (N),70043,,
BE3780308,LA,SAINT TAMMANY,30.3608,-89.7529,2223590,4941,22103,228431.14285714287,1.4,4.362682814702603,RETAIL PHARMACY,EVANS DRUG MART,P.O. BOX 129,PEARL RIVER,70452,,64288 HIGHWAY 41
BS9603590,LA,TERREBONNE,29.6328,-90.7606,326400,2104,22109,110670.71428571429,0.4,1.3217458003120999,CHAIN PHARMACY,SAM'S PHARMACY 10-6521,2174 MARTIN LUTHER KING BLVD,"HOUMA, LA",70360,,
BR3901180,LA,TERREBONNE,29.6351,-90.7619,98600,525,22109,110670.71428571429,0.1,0.3992050388161148,RETAIL PHARMACY,ROUSE'S DISCOUNT PHARMACY,5818 WEST MAIN ST,HOUMA,70360,,
BT3045045,LA,VERMILION,30.0255,-92.5134,1351850,1827,22113,57033.857142857145,3.4,10.62321770951816,RETAIL PHARMACY,THIBODEAUX'S PHARMACY,104 MAIN STREET,GUEYDAN,70542,,
BG4816091,LA,VERMILION,30.0254,-92.5124,319700,1272,22113,57033.857142857145,0.8,2.5122134263580773,RETAIL PHARMACY,HEALTH MART PHARMACY GUEYDAN,200 MAIN STREET,GUEYDAN,70542,,
FH2389737,LA,VERMILION,30.0254,-92.5124,149000,610,22113,57033.857142857145,0.4,1.1707917036090336,RETAIL PHARMACY,HEALTH MART PHARMACY OF GUEYDAN,200 MAIN STREET,GUEYDAN,70542,,
FM3435268,LA,VERMILION,30.0255,-92.5134,8300,25,22113,57033.857142857145,0,0.06512072299514653,RETAIL PHARMACY,MECHE'S FAMILY DRUGS,104 MAIN STREET,GUEYDAN,70542,,
BR0101624,LA,VERNON,30.9203,-93.2821,729590,1977,22115,49822.57142857143,2.1,6.563121330866151,RETAIL PHARMACY,ROSEPINE FAMILY PHARMACY,18507 CENTRAL AVE,ROSEPINE,70659,,PO BOX 408
FR1435355,LA,WASHINGTON,30.7876,-89.8653,2774600,1990,22117,46278.42857142857,8.6,26.87105144664375,RETAIL PHARMACY,"ROCKY'S MED SHOPPE, LLC",133 CUMBERLAND ST,BOGALUSA,70427,,
FW0501280,LA,WASHINGTON,30.7912,-89.8631,2001630,4170,22117,46278.42857142857,6.2,19.38507265536705,CHAIN PHARMACY,"WALGREEN LOUISIANA CO., INC.",217 SUPERIOR AVE,BOGALUSA,70427,DBA: WALGREENS #09997,
BC5276010,LA,WASHINGTON,30.7912,-89.8643,1229000,2335,22117,46278.42857142857,3.8,11.902386660433072,CHAIN PHARMACY,"LOUISIANA CVS PHARMACY, L.L.C.",329 SUPERIOR AVE.,BOGALUSA,70427,DBA: CVS/PHARMACY  # 05277,
BE5276010,LA,WASHINGTON,30.7912,-89.8643,492800,999,22117,46278.42857142857,1.5,4.772514108926666,CHAIN PHARMACY,"LOUISIANA CVS PHARMACY, L.L.C.",329 SUPERIOR AVE.,BOGALUSA,70427,DBA: CVS/PHARMACY  # 05277,
BE8694083,LA,WASHINGTON,30.7876,-89.8653,130800,375,22117,46278.42857142857,0.4,1.2666544734399507,CHAIN PHARMACY,"CVS EGL BOGALUSA LA, INC.",CVS/PHARMACY #07901,BOGALUSA,70427,,133 CUMBERLAND STREET
FW2171445,LA,WASHINGTON,30.7936,-89.865,123600,760,22117,46278.42857142857,0.4,1.1969246685352426,CHAIN PHARMACY,WAL-MART PHARMACY 10-0803,401 ONTARIO AVE,BOGALUSA,70427,,
BC8694083,LA,WASHINGTON,30.7876,-89.8653,74000,253,22117,46278.42857142857,0.2,0.7165637903028089,CHAIN PHARMACY,"CVS EGL BOGALUSA LA, INC.",CVS/PHARMACY #07901,BOGALUSA,70427,,133 CUMBERLAND STREET
AG7424322,LA,ACADIA,30.2126,-92.3729,464840,1239,22001,60885,1.1,3.4217209137466185,RETAIL PHARMACY,GREMILLION'S DRUG STORE,401 N PARKERSON,CROWLEY,70526,,
AT9042134,LA,ACADIA,30.2069,-92.3634,25100,72,22001,60885,0.1,0.18466486603072807,RETAIL PHARMACY,THRIFTY-WAY PHARMACY,520 SOUTH EASTERN AVE,CROWLEY,70526,,
BG4215530,LA,ASCENSION,30.3216,-90.9385,2588440,4506,22005,101895.85714285714,3.6,11.385239717655551,RETAIL PHARMACY,GALVEZ TOWN PHARMACY,40017 HWY 42,PRAIRIEVILLE,70769,,SUITE D
FL0660820,LA,ASCENSION,30.3198,-90.9774,1196360,1725,22005,101895.85714285714,1.7,5.262127420732422,CHAIN PHARMACY,"LOUISIANA CVS PHARMACY, L.L.C.",17122 AIRLINE HWY.,PRAIRIEVILLE,70769,DBA: CVS/PHARMACY  # 01661,
FW2883545,LA,ASCENSION,30.3217,-90.9397,221200,547,22005,101895.85714285714,0.3,0.9728522444009174,CHAIN PHARMACY,"WALGREEN LOUISIANA CO., INC.",39527 HWY 42,PRAIRIEVILLE,70769,DBA:WALGREENS #13779,
BW6282797,LA,CADDO,32.4574,-93.7224,1679330,4242,22017,252980.2857142857,0.9,2.975081003126225,CHAIN PHARMACY,"WALGREEN LOUISIANA CO., INC.",300 SOUTHFIELD RD,SHREVEPORT,71105,DBA: WALGREENS # 05163,
FL0355873,LA,CADDO,32.4029,-93.8049,1306000,1767,22017,252980.2857142857,0.7,2.313670984739944,CHAIN PHARMACY,"LOUISIANA CVS PHARMACY, L.L.C.",9194 MANSFIELD RD,SHREVEPORT,71118,DBA: CVS/PHARMACY  # 05327,
BC9343889,LA,CADDO,32.4029,-93.8049,921000,987,22017,252980.2857142857,0.5,1.631585813232917,CHAIN PHARMACY,"LOUISIANA CVS PHARMACY, L.L.C.",9194 MANSFIELD RD,SHREVEPORT,71118,DBA: CVS/PHARMACY  # 05327,
BE5276313,LA,CADDO,32.4029,-93.8049,4200,20,22017,252980.2857142857,0,0.007337280148132711,CHAIN PHARMACY,ECKERD DRUGS #0561,9194 MANSFIELD RD,SHREVEPORT,71118,,
AK7592341,LA,CALCASIEU,30.1844,-93.2215,647780,3858,22019,188386.85714285713,0.5,1.541034218379532,CHAIN PHARMACY,K MART PHARMACY,4070 RYAN ST,LAKE CHARLES,70605,,
BA3106122,LA,CALCASIEU,30.1853,-93.2201,525020,2500,22019,188386.85714285713,0.4,1.2489750553936898,CHAIN PHARMACY,ALBERTSONS LLC,4060 RYAN STREET,LAKE CHARLES,70605,ALBERTSONS PHARMACY #717,
BW3988411,LA,CALCASIEU,30.1765,-93.233,1724040,5628,22019,188386.85714285713,1.3,4.101571810063651,CHAIN PHARMACY,"WALGREEN LOUISIANA CO., INC.",4460 LAKE ST,LAKE CHARLES,70605,DBA: WALGREENS # 02997,
FL0063038,LA,CALCASIEU,30.1693,-93.25,950540,2348,22019,188386.85714285713,0.7,2.2613326232800985,CHAIN PHARMACY,"LOUISIANA CVS PHARMACY, L.L.C.",4828 NELSON RD.,LAKE CHARLES,70605,DBA: CVS/PHARMACY  # 01099,
BA7593482,LA,CALCASIEU,30.1706,-93.2654,350860,1718,22019,188386.85714285713,0.3,0.8346297977721986,CHAIN PHARMACY,ALBERTSONS LLC,2750 COUNTRY CLUB BLVD,LAKE CHARLES,70605,ALBERTSONS PHARMACY #2798,
BC8724141,LA,CALCASIEU,30.183,-93.248,292990,1119,22019,188386.85714285713,0.2,0.6969508814966149,RETAIL PHARMACY,"CARMICHAEL'S PHARMACY, IHP",1725 WEST SALE,LAKE CHARLES,70605,,
FC1110698,LA,CALCASIEU,30.183,-93.248,240620,1043,22019,188386.85714285713,0.2,0.5723570531684253,RETAIL PHARMACY,CARMICHAEL'S PHARMACY I.H.P.,1725 WEST SALE RD,LAKE CHARLES,70605,,
AM5280968,LA,CATAHOULA,31.7705,-91.8207,1355810,3914,22025,10459.57142857143,18.5,58.09633357899712,RETAIL PHARMACY,MEDI THRIFT DRUGS,P.O. BOX 205,HARRISONBURG,71340,,302 BUSHLEY STREET
AI4369054,LA,CATAHOULA,31.8472,-91.659,183360,1252,22025,10459.57142857143,2.5,7.856869474174141,RETAIL PHARMACY,ISLAND PHARMACY,P O BOX 38 HIGHWAY 15,SICILY ISLAND,71368,,
FI1757864,LA,CATAHOULA,31.8472,-91.659,182910,1079,22025,10459.57142857143,2.5,7.837586981234425,RETAIL PHARMACY,ISLAND PHARMACY,PO BOX 38,SICILY ISLAND,71368,,311 CHISUM ST.
BI8158289,LA,CATAHOULA,31.8534,-91.6608,17330,167,22025,10459.57142857143,0.2,0.7424865791050483,RETAIL PHARMACY,ISLAND INSTITUTIONAL PHARMACY,313 CHISUM STREET,SICILY ISLAND,71368,,
BF3896719,LA,CLAIBORNE,32.9341,-93.1099,533700,1961,22027,17011.428571428572,4.5,14.061050656368094,RETAIL PHARMACY,FRED'S PHARMACY #1761,9720 HWY 79,HAYNESVILLE,71038,,
FF0280103,LA,EAST BATON ROUGE,30.4523,-91.1112,173460,461,22033,434462.71428571426,0.1,0.17883798067464263,RETAIL PHARMACY,FRANKLIN  AVENUE PHARMACY,7521 FLORIDA BLVD,BATON ROUGE,70806,,
BT5572412,LA,EAST BATON ROUGE,30.4523,-91.1112,73560,208,22033,434462.71428571426,0,0.07578097154253567,RETAIL PHARMACY,FRANKLIN  AVENUE PHARMACY,7521 FLORIDA BLVD,BATON ROUGE,70806,,
BT9468302,LA,EAST BATON ROUGE,30.4408,-91.0217,1484500,3965,22033,434462.71428571426,0.5,1.5313090642838263,CHAIN PHARMACY,TARGET STORES A DIV.OF TARGET CORP.,ATTN: PHARMACY,BATON ROUGE,70816,TARGET STORE T-2089,2001 MILLERVILLE RD
AK2434140,LA,EAST BATON ROUGE,30.4518,-91.0233,1042380,2439,22033,434462.71428571426,0.3,1.07521732376844,CHAIN PHARMACY,K & B LOUISIANA CORPORATION,1029 MILLERVILLE RD,BATON ROUGE,70816,RITE AID #7325,
BM0248559,LA,EVANGELINE,30.6944,-92.2658,2817160,4864,22039,34594.142857142855,11.6,36.49826859080931,RETAIL PHARMACY,"MEDICINE CHEST PHARMACY, INC",409 EAST LINCOLN RD,VILLE PLATTE,70586,,
AL3421954,LA,EVANGELINE,30.6882,-92.2741,1401930,2519,22039,34594.142857142855,5.8,18.16292684772795,RETAIL PHARMACY,EVANGELINE DRUG STORE INC,10 W MAIN ST,VILLE PLATTE,70586,H.B. LEBAS,P.O. BOX 370
BV3696183,LA,EVANGELINE,30.6802,-92.2654,1083460,2653,22039,34594.142857142855,4.5,14.036914620090663,RETAIL PHARMACY,VILLE PLATTE CLINIC PHARMACY,505 JACK MILLER ROAD,VILLE PLATTE,70586,,P.O. BOX 636
AB9582998,LA,EVANGELINE,30.6802,-92.2759,821700,1395,22039,34594.142857142855,3.4,10.645622000043764,RETAIL PHARMACY,BLAKE'S SOUTHSIDE PHARMACY,808 SOUTH CHATAIGNIER ROAD,VILLE PLATTE,70586,,PO BOX 348
