BUYER_DEA_NO,BUYER_BUS_ACT,BUYER_COUNTY,BUYER_STATE,avg,linear_average,lat,lon,BUYER_NAME,BUYER_ADDRESS1,BUYER_CITY,BUYER_ZIP,BUYER_ADDL_CO_INFO,BUYER_ADDRESS2
AA8300030,RETAIL PHARMACY,WEST BATON ROUGE,LA,101.7,6.367130438820926,30.3878,-91.2368,DANIEL PHARMACY,710 EAST MAIN STREET,BRUSLY,70719,,P.O. BOX 218
AB1137505,RETAIL PHARMACY,IBERVILLE,LA,1.6,0.1022642174925441,30.1714,-91.1464,BAJON'S PHARMACY INC,"32420 BOWIE ST, PO BOX 8",WHITE CASTLE,70788,,
AB1265784,RETAIL PHARMACY,ACADIA,LA,6.1,0.38278363582632685,30.2132,-92.3726,BIER'S PHARMACY,410 NORTH PARKERSON AVE,CROWLEY,70526,,
AB1393393,RETAIL PHARMACY,SAINT TAMMANY,LA,4.3,0.2697768453591284,30.4698,-90.1138,"BRASWELL DRUGS, INC",1107 S TYLER STREET,COVINGTON,70433,,
AB1564562,RETAIL PHARMACY,JEFFERSON,LA,0.5,0.03345151013354117,33.6114,-117.9262,BBC INC,DBA C & G PHARMACY,RIVER RIDGE,70123,,9311 JEFFERSON HWY
AB2069082,RETAIL PHARMACY,SAINT LANDRY,LA,0,0.002367451990083958,30.7173,-91.8917,BENOIT'S THRIFTY WAY PHARM,9490 HWY 10,PALMETTO,71358,,P.O. BOX 216
AB2369951,RETAIL PHARMACY,IBERIA,LA,6.1,0.38400687668572,30.0113,-91.824700000000007,BROUSSARD'S PHARMACY,OF NEW IBERIA INC,NEW IBERIA,70560,,600 W ST PETER STREET
AB3365954,RETAIL PHARMACY,UNION,LA,42.4,2.657372078621859,32.8211,-92.6567,BERNICE PHARMACY INC,417 MAIN STREET,BERNICE,71222,,
AB3393446,RETAIL PHARMACY,LAFAYETTE,LA,0.5,0.03158178955582887,30.2033,-92.0183,BEGNAUD'S PHARMACY MEDICAL CTR,BEGNAUD ATISTA J ROLAND T BYR,LAFAYETTE,70503,,1164 COOLIDGE
AB3398030,RETAIL PHARMACY,IBERVILLE,LA,182.6,11.438930454113718,30.2902,-91.2352,BARKER'S PHARMACY,23460 EDEN STREET,PLAQUEMINE,70764,,
AB3400176,RETAIL PHARMACY,TENSAS,LA,410.6,25.722106272811974,32.0759,-91.2355,BRITT'S PHARMACY,102 NORTH MAIN STREET,NEWELLTON,71357,BRITT EDWIN E,PO BOX 398
AB3411686,RETAIL PHARMACY,MOREHOUSE,LA,11.6,0.723857931564761,32.7761,-91.7932,BRODIE PHARMACY INC,C/O MARGARET B PHILLEY,MER ROUGE,71261,,204 DAVENPORT
AB3418161,RETAIL PHARMACY,AVOYELLES,LA,6,0.3731062001894126,30.9538,-92.1838,BUNKIE PHARMACY INC,206 S.W. MAIN ST,BUNKIE,71322,,
AB3419872,RETAIL PHARMACY,ASCENSION,LA,8.6,0.5367923768624947,30.217,-90.9215,BERTRAND'S PHARMACY,2001 S. BURNSIDE AVE.,GONZALES,70737,,
AB6203549,RETAIL PHARMACY,EAST BATON ROUGE,LA,2.6,0.16169560955793838,30.5132,-91.1477,BORDELON'S SUPER-SAVE PHARM,6920 PLANK RD,BATON ROUGE,70811,,
AB6220850,RETAIL PHARMACY,EVANGELINE,LA,49.5,3.1001077149816108,30.6987,-92.2848,BLAKE'S FAMILY PHARMACY,512 MCARTHUR DRIVE,VILLE PLATTE,70586,,PO BOX 348
AB7540493,RETAIL PHARMACY,SAINT BERNARD,LA,270.5,16.942844971424122,29.8701,-89.8925,BRADLEY'S PHARMACY,RICHE-GEBBIA INC,ST BERNARD,70085,,8115 EAST ST. BERNARD HIGHWAY
AB8626268,RETAIL PHARMACY,SAINT MARTIN,LA,19.8,1.2432074010273853,30.3127,-91.7971,BOYER'S THRIFT PHARMACY INC,1423 HENDERSON HIGHWAY,HENDERSON,70517,,PO BOX 568
AB9582998,RETAIL PHARMACY,EVANGELINE,LA,17.5,1.098722895733977,30.6802,-92.2759,BLAKE'S SOUTHSIDE PHARMACY,808 SOUTH CHATAIGNIER ROAD,VILLE PLATTE,70586,,PO BOX 348
AC1312785,RETAIL PHARMACY,SAINT MARTIN,LA,13.5,0.843475298492577,30.2134,-91.8324,MILLS CASHWAY PHARMACY,1027 MARTIN STREET,PARKS,70582,,
AC1912218,RETAIL PHARMACY,TANGIPAHOA,LA,21.9,1.370396414534525,30.5013,-90.481,CHANNELL DRUGS,1812  W THOMAS STREET,HAMMOND,70401,,
AC2446474,RETAIL PHARMACY,CONCORDIA,LA,114.3,7.1581892604503015,31.6502,-91.5625,COLVIN'S PHARMACY,114 SERIO BLVD,FERRIDAY,71334,,PO BOX 669
AC3183162,RETAIL PHARMACY,ORLEANS,LA,0.9,0.05731789288432635,29.9196,-90.0156,CARR'S DRUGS INC,3500 HOLIDAY DRIVE,NEW ORLEANS,70114,,
AC3401293,RETAIL PHARMACY,CALCASIEU,LA,0,6.882888209256841e-4,30.2329,-93.2169,CLINIC PHARMACY,501 S. RYAN STREET,LAKE CHARLES,70601,,
AC3402219,RETAIL PHARMACY,ALLEN,LA,39.3,2.4637993073585536,30.4873,-92.8467,CAPPEL DRUGSTORE,904 4TH AVENUE,KINDER,70648,,P.O. BOX 430
AC3413680,RETAIL PHARMACY,TANGIPAHOA,LA,2.8,0.1780530834695613,30.5045,-90.4598,CENTRAL REXALL DRUGS INC,125 E THOMAS STREET,HAMMOND,70401,,
AC3417498,RETAIL PHARMACY,WINN,LA,17,1.0632954602530058,31.9264,-92.6399,COURT HOUSE PHARMACY,104 S JONES STREET,WINNFIELD,71483,,
AC3419783,RETAIL PHARMACY,SAINT HELENA,LA,1255.3,78.62923634647898,30.8307,-90.6697,CURRY PHARMACY INC,6216 HWY 10,GREENSBURG,70441,,PO BOX 1147
AC3420534,RETAIL PHARMACY,EAST CARROLL,LA,156.3,9.787936177326854,32.806,-91.1725,CHAPMAN'S DRUG,CHAPMAN L W,LAKE PROVIDENCE,71254,,407 LAKE ST
AC4748933,RETAIL PHARMACY,CALCASIEU,LA,1.7,0.10753945511246189,30.248,-93.2573,CARAWAY'S PHARMACY INC,820 MCKINLEY ST,WESTLAKE,70669,,
AC5237777,RETAIL PHARMACY,ACADIA,LA,13.1,0.817542878348297,30.2195,-92.3759,CARMICHAEL CASHWAY PHARMACY,CARMICHAEL THEODORE S,CROWLEY,70526,,1002 NORTH PARKERSON
AC5778521,RETAIL PHARMACY,JEFFERSON,LA,2,0.12379603042499425,30.0144,-90.1625,CHATEAU DRUGS,3544 W. ESPLANADE AVE.,METAIRIE,70002,CHATEAU DRUGS,
AC6391243,RETAIL PHARMACY,LAFOURCHE,LA,28.9,1.812299465191907,29.3919,-90.2678,CLINIC DRUG STORE OF GOLDEN MEADOW INC,110 SOUTH BAYOU DRIVE,GOLDEN MEADOW,70357,,
AC6473920,RETAIL PHARMACY,EAST FELICIANA,LA,32.6,2.0405041365868146,30.8659,-91.01,CLINTON DRUG STORE,1027 ST HELENA STREET,CLINTON,70722,,P.O. BOX 209
AC6800141,RETAIL PHARMACY,IBERIA,LA,3,0.18755316395648317,29.9191,-91.6707,CASHWAY PHARMACY,FREDERICK TERRY ALLEN,JEANERETTE,70544,,1801 W MAIN ST
AC7022825,RETAIL PHARMACY,LAFAYETTE,LA,1.5,0.09236122022340737,30.2338,-92.0955,CASHWAY PHARMACY,5900 CAMERON STREET,SCOTT,70583,,SUITE 100
AC7103384,RETAIL PHARMACY,OUACHITA,LA,0.3,0.02117213087366664,32.5008,-92.1141,CITY APOTHECARIES,312 GRAMMONT STE 102,MONROE,71201,CITY APOTHECARY INC,
AC7299971,RETAIL PHARMACY,SAINT TAMMANY,LA,1.5,0.09175094890432287,30.3941,-90.0097,C & C DRUGS,2803 HWY 59,MANDEVILLE,70471,,
AC7538448,RETAIL PHARMACY,CLAIBORNE,LA,316,19.794000536631494,32.7916,-93.0558,CLAIBORNE DRUG CO,511 W. MAIN,HOMER,71040,,
AC8027446,RETAIL PHARMACY,WASHINGTON,LA,9.5,0.5981736058023456,30.7907,-89.8602,C AND  F PHARMACY INC,424 AUSTIN STREET,BOGALUSA,70427,,
AC8762064,RETAIL PHARMACY,NATCHITOCHES,LA,94.8,5.94061338690011,31.7515,-93.0805,CAUSEY'S PHARMACY,407 BIENVILLE STREET,NATCHITOCHES,71457,,
AD1150464,RETAIL PHARMACY,ORLEANS,LA,0.8,0.04761663729620923,29.9802,-90.0835,DEBLANC PHARMACY,3111 GRAND ROUTE ST JOHN ST,NEW ORLEANS,70119,,
AD1629243,RETAIL PHARMACY,PLAQUEMINES,LA,33.1,2.0709620280808565,29.5013,-89.7175,DELTA DRUGS OF PORT,HWY 23 SOUTH,PORT SULPHUR,70083,SULPHUR INC.,26852
AD2692196,RETAIL PHARMACY,BOSSIER,LA,0.8,0.049964229219104525,32.5754,-93.7136,DENMON'S LOUISIANA PHARMACY,4160 AIRLINE DRIVE,BOSSIER CITY,71111,,
AD5521756,RETAIL PHARMACY,LAFOURCHE,LA,2.6,0.16510110432088934,29.7785,-90.8187,D M T INC #3,1772 CANAL BLVD,THIBODAUX,70302,,
AD5774559,RETAIL PHARMACY,VERMILION,LA,4.2,0.26116348267207656,29.9581,-92.0346,D & L FAMILY DRUG STORE,101 E LASTIE,ERATH,70533,,
AD6260359,RETAIL PHARMACY,TERREBONNE,LA,5.9,0.3665087224571395,29.5935,-90.6773,DAVE'S VILLAGE DRUGS,1620 PROSPECT AVENUE,HOUMA,70363,MATHERNE DAVID LOUIS,PO BOX 2216
AD7853636,RETAIL PHARMACY,RICHLAND,LA,14.8,0.9242158264188024,32.454,-91.4932,DELHI PHARMACY,414 BROADWAY STREET,DELHI,71232,DBA DELHI HEALTH MART,
AD8728492,RETAIL PHARMACY,SAINT TAMMANY,LA,0.6,0.03723012695735987,30.6265,-90.1864,FOLSOM PHARMACY,82150 HWY 25,FOLSOM,70437,,P.O. BOX 388
AE1635210,RETAIL PHARMACY,AVOYELLES,LA,4.2,0.26094084210945956,30.9853,-92.0524,EDDIE'S PHARMACY INC,BORDELON ROLAND E PD,COTTONPORT,71327,,206 CHOUPIQUE LANE
AE1735096,RETAIL PHARMACY,POINTE COUPEE,LA,18.4,1.1523270491581767,30.6836,-91.4627,THE MEDICINE SHOPPE,222 HOSPITAL ROAD,NEW ROADS,70760,,
AE7223833,RETAIL PHARMACY,EVANGELINE,LA,5.5,0.34174578722946886,30.6946,-92.2911,EASTIN PHARMACY,1535 W. MAIN ST. SUITE #2,VILLE PLATTE,70586,"EASTIN PHARMACY, INC",PO BOX 278
AF2009896,RETAIL PHARMACY,EVANGELINE,LA,11.3,0.7081635258925958,30.7821,-92.4261,FUSELIER'S PHARMACY INC,10600 VETERANS MEMORIAL HWY,PINE PRAIRIE,70576,,PO BOX 770
AF2371158,RETAIL PHARMACY,TANGIPAHOA,LA,4,0.2525594671347865,30.5045,-90.4624,MANNINO'S FAMILY PRACT PHARM,113 WEST CHARLES ST,HAMMOND,70401,,
AF3388382,RETAIL PHARMACY,WINN,LA,25,1.5637609323036947,31.9269,-92.6383,FLURRY'S CASH PHARMACY,101 E MAIN STREET,WINNFIELD,71483,FLURRY FRED R.,
AF3420522,RETAIL PHARMACY,SAINT MARY,LA,17.1,1.0714104097807127,29.804,-91.4983,FOURNET'S PHARMACY,1524 HOSPITAL AVE,FRANKLIN,70538,,
AF3421699,RETAIL PHARMACY,IBERIA,LA,10,0.6268647109286033,30.0042,-91.7974,FAMILY DRUGSTORE NEW IBERIA,DBA DELAUNE'S PHAR & HOME MED,NEW IBERIA,70563,,308 N LEWIS STREET
AF4491661,RETAIL PHARMACY,WEST FELICIANA,LA,183.2,11.47534951650366,30.7887,-91.3792,FELICIANA PHARMACY,7189 US HWY 61,ST FRANCISVILLE,70775,,BOX 578
AF5457292,RETAIL PHARMACY,UNION,LA,61.3,3.837161203974003,32.7734,-92.4025,FARMERVILLE DRUG COMPANY INC,300 EAST WATER,FARMERVILLE,71241,,
AG1497064,RETAIL PHARMACY,FRANKLIN,LA,16.7,1.0437730606376994,32.0497,-91.6581,GILBERT DRUGS,7584 GILBERT STREET,GILBERT,71336,,P.O. BOX 870
AG2591469,RETAIL PHARMACY,EAST BATON ROUGE,LA,0.1,0.005302144893589751,30.3955,-91.16,THE MEDICINE SHOPPE,5241 HIGHLAND ROAD,BATON ROUGE,70808,,
AG2686751,RETAIL PHARMACY,SAINT LANDRY,LA,0.5,0.032806977452049614,30.4136,-92.0385,GRAND COTEAU PRESCRIP SHOPPE,512 MARTIN LUTHER KING JR DR,GRAND COTEAU,70541,,
AG3399335,RETAIL PHARMACY,CALCASIEU,LA,1.9,0.12100859147987648,30.2046,-93.2328,GORDONS DRUG STORE INC # 1,2716 LAKE STREET,LAKE CHARLES,70601,,
AG3416167,RETAIL PHARMACY,TANGIPAHOA,LA,6.3,0.3922208561219196,30.7326,-90.5116,THRIFT TOWN PHARMACY,512 N 2ND STREET,AMITE,70422,,P.O. BOX 918
AG5583299,RETAIL PHARMACY,NATCHITOCHES,LA,12.3,0.7719322243869177,31.7517,-93.0612,GARDINER'S PHARMACY INC,1053 PARKWAY DRIVE,NATCHITOCHES,71457,,PO BOX 2264
AG5926944,RETAIL PHARMACY,WEST CARROLL,LA,61.7,3.866395329369036,32.861,-91.3893,GORDON SMITH'S PHARMACY,212 MAIN STREET,OAK GROVE,71263,SMITH GORDON N,PO BOX 238
AG6199423,RETAIL PHARMACY,LAFAYETTE,LA,0.7,0.04340876313516025,30.3172,-92.0472,GUILBEAU'S PHARMACY,208 EAST ST PETER ST,CARENCRO,70520,,PAUL J GUILBEAU
AG7204174,RETAIL PHARMACY,BEAUREGARD,LA,220.9,13.838461633218815,30.8418,-93.2894,THRIFTY WAY PHARMACY #2 INC,601 SOUTH PINE ST,DERIDDER,70634,,
AG7219202,RETAIL PHARMACY,ST JOHN THE BAPTIST,LA,57.8,3.621303206061626,30.0549,-90.552,GEM DRUGS INC,139 CENTRAL AVENUE,RESERVE,70084,,P.O. DRAWER K
AG7424322,RETAIL PHARMACY,ACADIA,LA,5.3,0.3326055671441548,30.2126,-92.3729,GREMILLION'S DRUG STORE,401 N PARKERSON,CROWLEY,70526,,
AG8743557,RETAIL PHARMACY,ST JOHN THE BAPTIST,LA,70,4.384455270073253,30.0749,-90.4958,MEDICINE SHOPPE,932 CARROLLWOOD AVENUE,LAPLACE,70068,,
AG9749384,RETAIL PHARMACY,SAINT JAMES,LA,155.7,9.750129602760635,30.0641,-90.6953,GEM DRUGS GRAMERCY INC,1635 HWY 3125,GRAMERCY,70052,,P.O. DRAWER 1511
AG9771329,RETAIL PHARMACY,EAST BATON ROUGE,LA,0.1,0.0037387403216386727,30.3925,-91.0956,INTER-LINK PHARMACEUTICALS,8585 PICARDY AVE,BATON ROUGE,70809,BLUEBONNET OUTPATIENT PHARMACY,
AH3403021,RETAIL PHARMACY,CADDO,LA,0.5,0.03314196468546983,32.4253,-93.717,HIGHLAND CLINIC PHARMACY,1455 E. BERT KOUNS IND LP,SHREVEPORT,71135,,P.O. BOX 51455
AH3403855,RETAIL PHARMACY,SAINT LANDRY,LA,1.4,0.0860466500229064,30.3972,-91.9314,HARDY'S DRUG STORE,P.O. BOX 316,ARNAUDVILLE,70512,,123 FUSELIER STREET
AH3416561,RETAIL PHARMACY,VERMILION,LA,1.3,0.08393622988171556,29.9741,-92.1358,HOLLIER DRUG STORE INC,105 S STATE ST,ABBEVILLE,70510,,
AH4746953,RETAIL PHARMACY,SAINT LANDRY,LA,2.7,0.16914142984988825,30.5354,-92.0987,THRIFTY-T-WAY PHARMACY,1406 WEST LANDRY,OPELOUSAS,70570,,
AH5002718,RETAIL PHARMACY,IBERIA,LA,3.1,0.19678912507748503,30.0186,-91.8314,HOWARD'S PHARMACY,1104 WEST SAINT PETER,NEW IBERIA,70560,,
AH6506779,RETAIL PHARMACY,SAINT MARTIN,LA,12.4,0.7758380100670333,,,HOSPITAL DRUG STORE,410 N MAIN ST,ST MARTINVILLE,70582,,
AH6858887,RETAIL PHARMACY,AVOYELLES,LA,5.5,0.3464244297608701,31.0433,-92.1333,HESSMER PHARMACY,3658 HWY 115,HESSMER,71341,,PO BOX 7
AH8294148,RETAIL PHARMACY,SABINE,LA,64.8,4.0608513112075775,31.6315,-93.6427,HENDERSON PHARMACY,1169 NORTH MAIN,ZWOLLE,71486,,PO BOX 608
AH9629809,RETAIL PHARMACY,TERREBONNE,LA,2.5,0.15441865419057513,29.6032,-90.7655,HAYDEL'S DRUG STORE,"4752 HIGHWAY 311, SUITE 100",HOUMA,70360,,
AI2964864,RETAIL PHARMACY,WASHINGTON,LA,15.6,0.9801976699816466,30.8331,-90.1524,IDEAL PHARMACY,808 RIVERSIDE DR,FRANKLINTON,70438,,
AI4369054,RETAIL PHARMACY,CATAHOULA,LA,80.7,5.05770543513849,31.8472,-91.659,ISLAND PHARMACY,P O BOX 38 HIGHWAY 15,SICILY ISLAND,71368,,
AJ1009768,RETAIL PHARMACY,JEFFERSON,LA,0.7,0.04109245905869369,30.0255,-90.2374,JOHN BULL PHARMACY,2124 38TH STREET,KENNER,70065,,
AJ2439342,RETAIL PHARMACY,RED RIVER,LA,585.5,36.672008635047284,32.0216,-93.3415,J & J DRUGS INC,DBA RED RIVER DRUGS,COUSHATTA,71019,,1603 RINGGOLD AVE PO BOX 685
AJ3393941,RETAIL PHARMACY,LA SALLE,LA,20.5,1.2861579806857912,31.6908,-92.1444,JENA PHARMACY INC,PO BOX 30,JENA,71342,,2951 EAST OAK STREET
AK1011852,CHAIN PHARMACY,SAINT TAMMANY,LA,0.7,0.04552250421295684,30.4723,-90.0866,K MART PHARMACY #7384,3555 HIGHWAY 190,MANDEVILLE,70471,,
AK1291018,CHAIN PHARMACY,CALCASIEU,LA,0.7,0.04491834295991241,30.1751,-93.2192,K & B LOUISIANA CORPORATION,115 WEST MCNEESE STREET,LAKE CHARLES,70605,RITE AID #7310,
AK1656226,CHAIN PHARMACY,TERREBONNE,LA,2.5,0.15609136917647184,29.5889,-90.7447,K & B LOUISIANA CORPORATION,1238 ST.CHARLES STREET,HOUMA,70360,RITE AID #7280,
AK1773488,CHAIN PHARMACY,RAPIDES,LA,2.7,0.16817731544303544,31.2846,-92.4746,KROGER PHARMACY #381,1422 MACARTHUR DRIVE,ALEXANDRIA,71303,,
AK1906075,CHAIN PHARMACY,TERREBONNE,LA,1.6,0.10161085689240015,29.6087,-90.7424,K MART PHARMACY #3320,133 MONARCH DRIVE,HOUMA,70364,,
AK2124775,CHAIN PHARMACY,EAST BATON ROUGE,LA,0.3,0.016858442682098997,30.3674,-91.0744,K & B LOUISIANA CORPORATION,9031 SIEGEN LANE,BATON ROUGE,70810,RITE AID #7319,
AK2361892,CHAIN PHARMACY,CADDO,LA,1.3,0.08163635210308878,32.4039,-93.8008,KROGER PHARMACY #427,9155 MANSFIELD ROAD,SHREVEPORT,71118,,
AK2417447,CHAIN PHARMACY,NATCHITOCHES,LA,25.8,1.6143583980048546,31.7528,-93.0765,K & B LOUISIANA CORPORATION,601 KEYSER AVENUE,NATCHITOCHES,71457,RITE AID #7344,
AK2434140,CHAIN PHARMACY,EAST BATON ROUGE,LA,0.3,0.020193117537854216,30.4518,-91.0233,K & B LOUISIANA CORPORATION,1029 MILLERVILLE RD,BATON ROUGE,70816,RITE AID #7325,
AK2478433,CHAIN PHARMACY,WEBSTER,LA,27,1.6900049351875637,32.6209,-93.2758,K & B LOUISIANA CORPORATION,214 HOMER ROAD,MINDEN,71055,RITE AID #7327,
AK2494413,CHAIN PHARMACY,BOSSIER,LA,2.5,0.1554503012865715,32.5292,-93.7081,K & B LA CORP/RITE AID #7333,2925 EAST TEXAS STREET,BOSSIER CITY,71111,,
AK2561834,CHAIN PHARMACY,CADDO,LA,0.4,0.024716329901231498,32.4429,-93.7831,K & B LOUISIANA CORPORATION,2758 WEST 70TH STREET,SHREVEPORT,71108,RITE AID #7331,
AK2628963,CHAIN PHARMACY,CADDO,LA,1,0.06183538592734833,32.5439,-93.7751,K & B LOUISIANA CORPORATION,1850 NORTH MARKET STREET,SHREVEPORT,71107,RITE AID #7330,
AK2663056,CHAIN PHARMACY,SAINT TAMMANY,LA,1.5,0.09581063723397369,30.2874,-89.7367,K & B LOUISIANA CORPORATION,"2090 GAUSE BOULEVARD, EAST",SLIDELL,70461,RITE AID #7292,
AK2938439,RETAIL PHARMACY,CLAIBORNE,LA,89.6,5.610032162812921,32.9613,-93.1323,KILLGORE'S PHARMACY,1909 MAIN STREET,HAYNESVILLE,71038,,
AK3365625,CHAIN PHARMACY,CALCASIEU,LA,0.8,0.050218714185178114,30.2124,-93.2128,KROGER CO,600 12TH ST,LAKE CHARLES,70601,,
AK3370361,CHAIN PHARMACY,JEFFERSON,LA,0.2,0.01250947787342299,30.0026,-90.1419,K & B LOUISIANA CORPORATION,725 VETERANS MEMORIAL BLVD,METAIRIE,70005,RITE AID #7237,
AK3416749,CHAIN PHARMACY,ORLEANS,LA,0.9,0.05571375196240837,29.9285,-90.092,K & B LOUISIANA CORPORATION,3401 ST. CHARLES AVENUE,NEW ORLEANS,70115,RITE AID #7255,
AK3416751,CHAIN PHARMACY,ORLEANS,LA,0.2,0.011830243577914451,29.9469,-90.1295,K & B LOUISIANA CORPORATION,1133 SOUTH CARROLLTON AVE.,NEW ORLEANS,70118,RITE AID #7258,
AK3416826,CHAIN PHARMACY,ORLEANS,LA,0.2,0.013790510181608179,29.9981,-90.0597,K & B LOUISIANA CORPORATION,3100 GENTILLY BOULEVARD,NEW ORLEANS,70122,RITE AID #7266,
AK3416840,CHAIN PHARMACY,JEFFERSON,LA,0.1,0.008938939495482091,29.9883,-90.1313,K & B LOUISIANA CORPORATION,800 METAIRIE ROAD SUITE D,METAIRIE,70005,RITE AID #7238,
AK3416864,CHAIN PHARMACY,JEFFERSON,LA,0.3,0.021383647230788626,29.9621,-90.1694,K & B LOUISIANA CORPORATION,4115 JEFFERSON HIGHWAY,JEFFERSON,70121,RITE AID #7264,
AK3416890,CHAIN PHARMACY,JEFFERSON,LA,0.4,0.027325037118852036,29.8939,-90.0958,K & B LOUISIANA CORPORATION,4535 WESTBANK EXPRESSWAY,MARRERO,70072,RITE AID #7251,
AK3416965,CHAIN PHARMACY,JEFFERSON,LA,0.2,0.01409725798621345,29.9373,-90.2103,K & B LOUISIANA CORPORATION,8225 JEFFERSON HIGHWAY,HARAHAN,70123,RITE AID #7268,
AK3416977,CHAIN PHARMACY,TERREBONNE,LA,5.3,0.32959305615351836,29.6344,-90.7566,K & B LOUISIANA CORPORATION,5953 W PARK AVE #1043,HOUMA,70364,RITE AID #7282,
AK3416989,CHAIN PHARMACY,EAST BATON ROUGE,LA,0.3,0.0171748893941141,30.4312,-91.1102,K & B LOUISIANA CORPORATION,7570 JEFFERSON HIGHWAY,BATON ROUGE,70806,RITE AID #7316,
AK3417006,CHAIN PHARMACY,EAST BATON ROUGE,LA,0.2,0.010835892655816573,30.5029,-91.1514,K & B LOUISIANA CORP,PLANK ROAD VILLAGE SHOPPING CE,BATON ROUGE,70805,RITE AID #7314,5840 PLANK ROAD
AK3417020,CHAIN PHARMACY,CALCASIEU,LA,0.9,0.05768728516685596,30.2362,-93.359,K & B LOUISIANA CORPORATION,1601 E. NAPOLEON STREET,SULPHUR,70663,RITE AID #7311,
AK3417044,CHAIN PHARMACY,RAPIDES,LA,4.1,0.2592794674073871,31.2993,-92.4777,K & B LOUISIANA CORPORATION,219 MCARTHUR DRIVE,ALEXANDRIA,71303,RITE AID #7342,
AK3417056,CHAIN PHARMACY,LAFAYETTE,LA,0.7,0.043835829866783214,30.1874,-92.0658,K & B LOUISIANA CORPORATION,4710 JOHNSTON STREET,LAFAYETTE,70503,RITE AID #7296,
AK4171500,CHAIN PHARMACY,EAST BATON ROUGE,LA,0.6,0.0356720949434216,30.4449,-91.1544,K & B LOUISIANA CORPORATION,3433 GOVERNMENT STREET,BATON ROUGE,70806,RITE AID #7315,
AK4435346,CHAIN PHARMACY,OUACHITA,LA,0.9,0.053239748060562704,32.5183,-92.1067,K & B LOUISIANA CORPORATION,1801 LOUISVILLE AVENUE,MONROE,71201,RITE AID #7337,
AK5358848,CHAIN PHARMACY,SAINT TAMMANY,LA,1.4,0.08820568348446829,30.2878,-89.7809,K & B LOUISIANA CORPORATION,114 GAUSE BOULEVARD WEST,SLIDELL,70460,RITE AID #7290,
AK5467192,CHAIN PHARMACY,JEFFERSON,LA,0.2,0.014589947871667173,29.9781,-90.2045,K & B LOUISIANA CORPORATION,6425 AIRLINE DRIVE,METAIRIE,70003,RITE AID #7234,
